time,actual_x,actual_z,predicted_x,predicted_z,drift
0.03,0.0873,-0.1893,0.096,-0.1858,0.0094
0.06,0.0978,-0.1852,0.106,-0.1815,0.009
0.09,0.1083,-0.1808,0.116,-0.1769,0.0086
0.12,0.1185,-0.1761,0.1257,-0.1721,0.0082
0.15,0.1285,-0.1711,0.1352,-0.1669,0.0079
0.18,0.1384,-0.1658,0.1445,-0.1615,0.0075
0.21,0.148,-0.1602,0.1536,-0.1559,0.0071
0.24,0.1573,-0.1543,0.1625,-0.15,0.0067
0.27,0.1664,-0.1483,0.1711,-0.1439,0.0064
0.3,0.1752,-0.1419,0.1794,-0.1376,0.006
0.33,0.1838,-0.1354,0.1874,-0.1311,0.0057
0.36,0.192,-0.1287,0.1951,-0.1244,0.0053
0.39,0.1999,-0.1218,0.2026,-0.1176,0.005
0.42,0.2075,-0.1148,0.2097,-0.1107,0.0046
0.45,0.2148,-0.1077,0.2166,-0.1037,0.0043
0.48,0.2218,-0.1005,0.2231,-0.0966,0.004
0.51,0.2285,-0.0932,0.2293,-0.0895,0.0038
0.54,0.2348,-0.0858,0.2352,-0.0823,0.0035
0.57,0.2408,-0.0784,0.2408,-0.0751,0.0033
0.6,0.2465,-0.071,0.246,-0.068,0.0031
0.63,0.2518,-0.0636,0.251,-0.0608,0.0029
0.66,0.2569,-0.0563,0.2557,-0.0537,0.0028
0.69,0.2616,-0.0489,0.2601,-0.0467,0.0028
0.72,0.266,-0.0417,0.2642,-0.0397,0.0027
0.75,0.2702,-0.0346,0.268,-0.0329,0.0028
0.78,0.274,-0.0275,0.2715,-0.0261,0.0029
0.81,0.2776,-0.0206,0.2748,-0.0195,0.003
0.84,0.2809,-0.0138,0.2778,-0.0131,0.0032
0.87,0.284,-0.0072,0.2806,-0.0068,0.0034
0.9,0.2868,-0.0008,0.2832,-0.0007,0.0036
0.93,0.2893,0.0055,0.2855,0.0052,0.0038
0.96,0.2917,0.0115,0.2877,0.0109,0.0041
0.99,0.2938,0.0174,0.2896,0.0164,0.0043
1.02,0.2958,0.023,0.2914,0.0217,0.0046
1.05,0.2975,0.0284,0.2929,0.0267,0.0049
1.08,0.2991,0.0335,0.2944,0.0315,0.0051
1.11,0.3005,0.0384,0.2957,0.0361,0.0054
1.14,0.3018,0.0431,0.2968,0.0404,0.0057
1.17,0.3029,0.0474,0.2978,0.0444,0.006
1.2,0.304,0.0515,0.2987,0.0481,0.0063
1.23,0.3048,0.0554,0.2995,0.0516,0.0066
1.26,0.3056,0.0589,0.3002,0.0548,0.0068
1.29,0.3063,0.0622,0.3008,0.0577,0.0071
1.32,0.3069,0.0651,0.3013,0.0604,0.0074
1.35,0.3074,0.0678,0.3017,0.0627,0.0077
1.38,0.3079,0.0702,0.3021,0.0647,0.008
1.41,0.3083,0.0723,0.3024,0.0665,0.0083
1.44,0.3086,0.074,0.3026,0.0679,0.0085
1.47,0.3088,0.0755,0.3028,0.0691,0.0088
1.5,0.3091,0.0767,0.3029,0.07,0.0091
1.53,0.3092,0.0776,0.303,0.0705,0.0094
1.56,0.3093,0.0781,0.3031,0.0708,0.0096
1.59,0.3094,0.0784,0.3031,0.0707,0.0099
1.62,0.3094,0.0783,0.303,0.0704,0.0102
1.65,0.3094,0.078,0.3029,0.0698,0.0105
1.68,0.3093,0.0773,0.3028,0.0688,0.0107
1.71,0.3092,0.0764,0.3026,0.0676,0.011
1.74,0.309,0.0751,0.3023,0.066,0.0113
1.77,0.3088,0.0735,0.302,0.0642,0.0116
1.8,0.3086,0.0717,0.3016,0.0621,0.0118
1.83,0.3082,0.0695,0.3011,0.0596,0.0121
1.86,0.3078,0.067,0.3006,0.0569,0.0124
1.89,0.3073,0.0643,0.3,0.0539,0.0127
1.92,0.3067,0.0612,0.2993,0.0507,0.0129
1.95,0.3061,0.0579,0.2985,0.0471,0.0132
1.98,0.3053,0.0543,0.2975,0.0433,0.0135
2.01,0.3044,0.0504,0.2965,0.0392,0.0138
2.04,0.3035,0.0462,0.2953,0.0348,0.014
2.07,0.3023,0.0418,0.294,0.0302,0.0143
2.1,0.3011,0.0371,0.2925,0.0253,0.0146
2.13,0.2997,0.0322,0.2909,0.0202,0.0148
2.16,0.2981,0.027,0.2891,0.0149,0.0151
2.19,0.2963,0.0216,0.2871,0.0093,0.0154
2.22,0.2944,0.016,0.2849,0.0036,0.0156
2.25,0.2923,0.0102,0.2825,-0.0024,0.0159
2.28,0.2899,0.0041,0.2799,-0.0085,0.0162
2.31,0.2873,-0.0021,0.277,-0.0149,0.0164
2.34,0.2846,-0.0085,0.2739,-0.0214,0.0167
2.37,0.2815,-0.0151,0.2705,-0.028,0.017
2.4,0.2782,-0.0218,0.2669,-0.0348,0.0172
2.43,0.2747,-0.0286,0.263,-0.0416,0.0175
